gvkey,capex_m_lag_w,roaq_lag_w,bk_leverage_lag_w,ppe_lag_w,logatq_lag_w,tobin_q_w,qtr,tran_risk_w_std,tran_risk_pro_w_std,tran_risk_npro_w_std,phy_risk_acute_w_std,phy_risk_chronic_w_std,ticker,company_name,industry_naics
181989,2.273258625067352,.1903526802030824,.4200030646905088,.4828564618148075,7.0687428,1.282223513370736,3,0,0,0,0,0,SLCA,U S SILICA HOLDINGS INC,21
181989,3.249167851396563,.1316390146931535,.4258498884222885,.4870010453115313,7.0532341,1.537889662724525,4,.26435274,0,.28780991,0,0,SLCA,U S SILICA HOLDINGS INC,21
182012,2.353139273010461,.0347151317132939,.0001643452894531,.0474341591684128,3.8852272,1.266876310272536,3,0,0,0,0,0,GIG.2,GIGPEAK INC,33
182012,2.87193393319364,.0686467807246285,.000104821802935,.0366277328541479,4.2014036,2.082821588771524,4,0,0,0,0,0,GIG.2,GIGPEAK INC,33
182308,2.69272614898446,.0633034129634775,.3872153927006173,.0620024846637106,6.4332891,4.779927429008834,1,0,0,0,0,0,MDSO,MEDIDATA SOLUTIONS INC,51
182788,.1169777922761147,.0238793132196045,.8695247472129942,.0065778302069342,9.8517723,.9730215094990632,1,0,0,0,0,0,DHCPQ,DITECH HOLDING CORP,52
182788,.0194081953658642,.0182044226272818,.8675048750096267,.0059993783977526,9.8682833,.9865542903803515,2,0,0,0,0,0,DHCPQ,DITECH HOLDING CORP,52
182788,.0504864081608575,.0178821610930542,.8699298592491151,.0056776250777222,9.870164900000001,.9792397961838449,3,0,0,0,0,0,DHCPQ,DITECH HOLDING CORP,52
182788,.0863603213559263,.0074648586786027,.8780824242944564,.0055718014800867,9.8403521,.9839266372306357,4,0,0,0,0,0,DHCPQ,DITECH HOLDING CORP,52
183108,0,.0716465367950421,.7894687955069555,0,8.4988823,1.004757786319837,1,0,0,0,0,0,WMC,WESTERN ASSET MTG CAPITAL CP,52
183139,3.346147125633409,.2463125130658985,0,.0555130493921619,2.4649589,1.671351835273053,4,0,0,0,0,0,ACCS,ACCESS NEWSWIRE INC,51
183283,3.65617889099899,.1375318985603292,.0202596195859582,.0425601345110424,5.1974082,1.648441377052758,1,0,0,0,0,0,ADUS,ADDUS HOMECARE CORP,62
183283,.4151890446832888,.139000106447149,.0187804164561338,.0428795574821158,5.2365217,2.037943975063572,3,0,0,0,0,0,ADUS,ADDUS HOMECARE CORP,62
183283,.6999441533920168,.1313235870260016,.0167234025100484,.0419725617258633,5.2732868,1.571372707827134,4,0,0,0,0,0,ADUS,ADDUS HOMECARE CORP,62
183322,0,-.9615352671823353,0,.0005629159043847,4.5999765,14.82411421499293,2,0,0,0,0,0,TXMD,THERAPEUTICSMD INC,32
183322,.0160833115538489,-.9615352671823353,0,.0008588908415809,4.3265009,11.65973557373425,3,0,0,0,0,0,TXMD,THERAPEUTICSMD INC,32
183322,.0211419284081449,-.9615352671823353,0,.0006301127570197,4.5049076,14.82411421499293,4,0,0,0,0,0,TXMD,THERAPEUTICSMD INC,32
183324,0,.0659443295768637,.6456147834470024,0,8.4978666,1.007974966056112,1,0,0,0,0,0,PMT,PENNYMAC MORTGAGE INVEST TR,52
183324,0,.0569810663443545,.7054304991276552,0,8.6547632,.9668546587326095,2,0,0,0,0,0,PMT,PENNYMAC MORTGAGE INVEST TR,52
183324,0,.0451384014447215,.7487414962828203,0,8.8064804,.9333239703438574,3,0,0,0,0,0,PMT,PENNYMAC MORTGAGE INVEST TR,52
183324,0,.0425367885165285,.7026773393302244,0,8.6291332,.9364281085526428,4,0,0,0,0,0,PMT,PENNYMAC MORTGAGE INVEST TR,52
183366,3.135456686082538,.0791737320795437,.170698759670883,.5140611568218102,9.004914299999999,1.535228403085093,1,0,0,0,0,0,H,HYATT HOTELS CORP,72
183366,.7491096647427238,.0780222832628623,.1743583259577696,.518396763181186,8.9757566,1.485996565927059,2,0,0,0,0,0,H,HYATT HOTELS CORP,72
183366,1.542546466051334,.0785460882554304,.1773782198418771,.5219331803111451,8.9672489,1.319872510427529,3,0,0,0,0,0,H,HYATT HOTELS CORP,72
183366,2.359092068349911,.0787160153927979,.1794838373305526,.5255474452554745,8.945332499999999,1.31012673512375,4,0,0,0,0,0,H,HYATT HOTELS CORP,72
183377,2.452916004177964,.0657893885578609,0,.0413532251430753,7.2617683,4.467546717853465,1,0,0,0,0,0,FTNT,FORTINET INC,51
183377,.3458092300954397,.0539915479389019,0,.0423726042062253,7.3120885,4.921692498361244,2,.18539023,0,.20184071,0,0,FTNT,FORTINET INC,51
